date,model,divergences,max_treedepth_hits,max_rhat,min_ess_bulk,seed
2023-10-11,Centered MA,0,0,1.0110113228503903,209.1225877116827,20251433
2023-10-11,Raw MA,0,0,1.0154773295896733,171.3831608697762,20251433
2023-10-18,Centered MA,1,0,1.0060690476667975,325.67350684263795,20251434
2023-10-18,Raw MA,0,0,1.011110332126308,178.4225437863636,20251434
2023-10-25,Centered MA,1,0,1.0055405658801202,154.24108808432297,20251435
2023-10-25,Raw MA,0,0,1.0081844724142572,181.5226265997565,20251435
2023-11-01,Centered MA,0,0,1.0122240147392534,205.94458176066783,20251436
2023-11-01,Raw MA,0,0,1.0083091237907245,240.4419438660431,20251436
2023-11-08,Centered MA,1,0,1.0096877091728205,236.95495720992395,20251437
2023-11-08,Raw MA,0,0,1.0064063839728323,191.62201208462662,20251437
2023-11-15,Centered MA,0,0,1.012778581197411,237.28633488926945,20251438
2023-11-15,Raw MA,0,0,1.0403420996829158,76.87336434155274,20251438
2023-11-22,Centered MA,0,0,1.0146149609021315,223.22237303049585,20251439
2023-11-22,Raw MA,0,0,1.0079321075923975,237.81263142788274,20251439
2023-11-29,Centered MA,0,0,1.0116539032549636,272.12046413285856,20251440
2023-11-29,Raw MA,0,0,1.0128081427403892,223.392501582866,20251440
2023-12-06,Centered MA,0,0,1.0055980092127672,171.850299563102,20251441
2023-12-06,Raw MA,0,0,1.0034726069756135,355.836018719491,20251441
2023-12-13,Centered MA,1,0,1.0169189512639358,195.67569145530206,20251442
2023-12-13,Raw MA,1,0,1.0062366810571564,130.39803489963694,20251442
2023-12-20,Centered MA,0,0,1.0037588045387298,228.45811716337795,20251443
2023-12-20,Raw MA,0,0,1.0157313423202203,117.41102204245888,20251443
2023-12-27,Centered MA,0,0,1.0060377047932159,274.9896574099464,20251444
2023-12-27,Raw MA,1,0,1.0137647641472585,198.74545220683416,20251444
2024-01-03,Centered MA,0,0,1.0155333417962165,183.49315835292722,20251445
2024-01-03,Raw MA,0,0,1.0188302022909905,313.5453915275974,20251445
2024-01-10,Centered MA,0,0,1.019848028774674,306.68229820518127,20251446
2024-01-10,Raw MA,0,0,1.0141694743613565,213.25746855628338,20251446
2024-01-17,Centered MA,5,0,1.004313431669122,275.6619617406351,20251447
2024-01-17,Raw MA,0,0,1.006667039542522,251.91993497601146,20251447
2024-01-24,Centered MA,1,0,1.026799367961997,130.00747519807265,20251448
