component,RMSE,MAE,model,date
Total,5.820861303470717e-4,5.068960875687367e-4,Centered MA,2023-10-11
Total,5.677180801203131e-4,4.985049594645463e-4,Raw MA,2023-10-11
Total,3.620475052635972e-4,3.1062282562557136e-4,Centered MA,2023-10-18
Total,3.6985146875083164e-4,3.150099417272463e-4,Raw MA,2023-10-18
Total,6.415496425652478e-4,5.267578394137495e-4,Centered MA,2023-10-25
Total,6.374845201313961e-4,5.247616117637945e-4,Raw MA,2023-10-25
Total,0.0014089992015965782,0.0011581107573652646,Centered MA,2023-11-01
Total,0.001411625502894176,0.0011592816073576657,Raw MA,2023-11-01
Total,0.0018089880872923648,0.0014449839367355784,Centered MA,2023-11-08
Total,0.0018016483212033674,0.0014495841812814415,Raw MA,2023-11-08
Total,0.0016039196672445243,0.001388711382437697,Centered MA,2023-11-15
Total,0.0015946853863994805,0.0013804926213526227,Raw MA,2023-11-15
Total,0.0010619757939392908,8.732300006100528e-4,Centered MA,2023-11-22
Total,0.0010714858134796689,8.786148220033506e-4,Raw MA,2023-11-22
Total,9.561317603677497e-4,7.993706272872957e-4,Centered MA,2023-11-29
Total,9.58449433524365e-4,7.982812372010518e-4,Raw MA,2023-11-29
Total,9.981016224877843e-4,9.776312180713488e-4,Centered MA,2023-12-06
Total,9.707711297074939e-4,9.547268951505886e-4,Raw MA,2023-12-06
Total,9.548687543475133e-4,9.386064168458996e-4,Centered MA,2023-12-13
Total,9.427444308603016e-4,9.278719477863254e-4,Raw MA,2023-12-13
Total,8.738245096764554e-4,8.146622709684775e-4,Centered MA,2023-12-20
Total,8.674669432744127e-4,8.121906415944624e-4,Raw MA,2023-12-20
Total,0.002450051976297606,0.002160326240410952,Centered MA,2023-12-27
Total,0.0024244035402891874,0.002137660000496911,Raw MA,2023-12-27
Total,0.002318251547578957,0.001747969609573758,Centered MA,2024-01-03
Total,0.002304644099333315,0.0017221433393177221,Raw MA,2024-01-03
Total,0.002808916023999147,0.0026930110651890125,Centered MA,2024-01-10
Total,0.0028000210394743315,0.0026898397017139815,Raw MA,2024-01-10
Total,0.001689260809457921,0.0014042781244380832,Centered MA,2024-01-17
Total,0.001727172820594483,0.0014326966620574373,Raw MA,2024-01-17
Total,8.038852766792045e-4,7.31443863849747e-4,Centered MA,2024-01-24
Total,7.987222600544482e-4,7.205300570243961e-4,Raw MA,2024-01-24
Total,0.001253855711850179,0.001206811893635324,Centered MA,2024-01-31
Total,0.0012544107739882143,0.0012073182050018547,Raw MA,2024-01-31
Total,0.0011005576528195637,0.0010114963520629003,Centered MA,2024-02-07
