component,RMSE,MAE,model,date
Total,5.379545329951902e-4,4.4393407770235496e-4,Centered MA,2023-10-11
Total,5.305032639091237e-4,4.309388752653451e-4,Raw MA,2023-10-11
Total,3.738967118496231e-4,3.187519947353626e-4,Centered MA,2023-10-18
Total,3.7695917119968323e-4,3.219891854765143e-4,Raw MA,2023-10-18
Total,6.552477566259541e-4,5.360817511131689e-4,Centered MA,2023-10-25
Total,6.535419011628126e-4,5.333744726802071e-4,Raw MA,2023-10-25
Total,0.0013939700438512525,0.0011509197148918161,Centered MA,2023-11-01
Total,0.0013873592764705985,0.001142930678610033,Raw MA,2023-11-01
Total,0.001855441341060297,0.0014543226383858868,Centered MA,2023-11-08
Total,0.0018467962657271028,0.0014430805116327876,Raw MA,2023-11-08
Total,0.0016029830641836607,0.0013875031432440225,Centered MA,2023-11-15
Total,0.0015950633437380503,0.0013804522990854447,Raw MA,2023-11-15
Total,0.0011405800262169461,9.365061887642717e-4,Centered MA,2023-11-22
Total,0.0011443765921182647,9.350315216228346e-4,Raw MA,2023-11-22
Total,9.87675078288815e-4,8.189304586056732e-4,Centered MA,2023-11-29
Total,9.932504031329493e-4,8.170541467366899e-4,Raw MA,2023-11-29
Total,0.0010786266910192473,0.001050139264559595,Centered MA,2023-12-06
Total,0.0010432556375745924,0.0010168648066852838,Raw MA,2023-12-06
Total,0.0010557661985336677,0.0010100238301219734,Centered MA,2023-12-13
Total,0.0010208219583947601,9.789743579745082e-4,Raw MA,2023-12-13
Total,8.932361699135663e-4,8.092550821946418e-4,Centered MA,2023-12-20
Total,8.774895564761491e-4,8.007969415559021e-4,Raw MA,2023-12-20
Total,0.0026519106139331833,0.002337640984875211,Centered MA,2023-12-27
Total,0.0026348095703348784,0.0023369057131875336,Raw MA,2023-12-27
Total,0.002396322655964768,0.001825252101113027,Centered MA,2024-01-03
Total,0.0023572650614356897,0.0017801821559866801,Raw MA,2024-01-03
Total,0.0028483619188414888,0.002719401688552947,Centered MA,2024-01-10
Total,0.002845960150890875,0.0027202361993211577,Raw MA,2024-01-10
Total,0.001706084995513204,0.001403283331714418,Centered MA,2024-01-17
Total,0.001746683581672328,0.00143131159948574,Raw MA,2024-01-17
Total,8.009015991754249e-4,7.329548113124626e-4,Centered MA,2024-01-24
Total,7.860245590320268e-4,7.114772061560422e-4,Raw MA,2024-01-24
Total,0.0012640525895266561,0.0012086683353167114,Centered MA,2024-01-31
Total,0.0012663799808470889,0.0012165312063434457,Raw MA,2024-01-31
Total,9.857028841124887e-4,9.172592323142964e-4,Centered MA,2024-02-07
Total,9.884437441037032e-4,9.176931475960125e-4,Raw MA,2024-02-07
Total,5.918601362619906e-4,4.4496548321022733e-4,Centered MA,2024-02-14
Total,5.702534895498686e-4,4.143954699389399e-4,Raw MA,2024-02-14
Total,5.032041096402297e-4,4.3255258144164754e-4,Centered MA,2024-02-21
Total,4.963631008676395e-4,4.273092006525647e-4,Raw MA,2024-02-21
Total,6.917720802912646e-4,6.799591208606071e-4,Centered MA,2024-02-28
Total,6.89449455015633e-4,6.776155174233293e-4,Raw MA,2024-02-28
Total,0.0014670102102086401,0.001340235304058808,Centered MA,2024-03-06
Total,0.0014667101240942544,0.0013394019229256947,Raw MA,2024-03-06
Total,0.002698037199230911,0.0021871794035639262,Centered MA,2024-03-13
Total,0.00268192508723063,0.0021743849323792447,Raw MA,2024-03-13
Total,5.881956711629132e-4,5.050749847403217e-4,Centered MA,2024-03-20
Total,5.980796851568081e-4,5.143111961197558e-4,Raw MA,2024-03-20
Total,5.572105427894918e-4,5.053898376222998e-4,Centered MA,2024-03-27
Total,5.459019203305245e-4,4.934006808283674e-4,Raw MA,2024-03-27
Total,4.3883194003242965e-4,3.6801338467730427e-4,Centered MA,2024-04-03
Total,4.378957016583755e-4,3.5993546316627836e-4,Raw MA,2024-04-03
Total,0.0015781955260631233,0.0013219321442840375,Centered MA,2024-04-10
Total,0.001558246171754895,0.0013040209457063044,Raw MA,2024-04-10
Total,0.0014142778993999554,0.0011872378774741912,Centered MA,2024-04-17
Total,0.0014399616235902695,0.0012052346694207232,Raw MA,2024-04-17
