component,RMSE,MAE,model,date
Total,4.1795428209258145e-4,3.58361089093831e-4,Centered MA,2023-10-11
Total,4.0066284612856487e-4,3.4180404805896417e-4,Raw MA,2023-10-11
Total,3.231435341710369e-4,2.781217965890509e-4,Centered MA,2023-10-18
Total,3.342924293196657e-4,2.880581076023722e-4,Raw MA,2023-10-18
Total,6.383003539745548e-4,5.177942247721751e-4,Centered MA,2023-10-25
Total,6.308517749085032e-4,5.111756491966955e-4,Raw MA,2023-10-25
Total,0.0013902344869129851,0.0011452155733310126,Centered MA,2023-11-01
Total,0.001394384204358792,0.0011491565730475765,Raw MA,2023-11-01
Total,0.001914906788178377,0.001497899904049596,Centered MA,2023-11-08
Total,0.0019152638326720912,0.0015089024584992068,Raw MA,2023-11-08
Total,0.0016568084007195308,0.0014343587356824838,Centered MA,2023-11-15
Total,0.0016446687950650671,0.0014240278551983093,Raw MA,2023-11-15
Total,0.0011618525519381244,9.498380153804276e-4,Centered MA,2023-11-22
Total,0.0011747549584258945,9.616880445353811e-4,Raw MA,2023-11-22
Total,9.78086527816027e-4,8.069900359546113e-4,Centered MA,2023-11-29
Total,9.900347717437055e-4,8.104247933134051e-4,Raw MA,2023-11-29
Total,0.0010917423939342697,0.0010678724726505516,Centered MA,2023-12-06
Total,0.0010629989796575683,0.0010434944124477,Raw MA,2023-12-06
Total,0.0011046439466223248,0.0010762432035864682,Centered MA,2023-12-13
Total,0.0010797688411673663,0.0010560396930580397,Raw MA,2023-12-13
Total,8.656664774273057e-4,7.493951108059824e-4,Centered MA,2023-12-20
Total,8.413191332945151e-4,7.357603017910663e-4,Raw MA,2023-12-20
Total,0.00257856169779814,0.002245347731652022,Centered MA,2023-12-27
Total,0.002542356432427093,0.0022202335842867876,Raw MA,2023-12-27
Total,0.002440613665750254,0.0018509696720876503,Centered MA,2024-01-03
Total,0.0024195391652150006,0.0018063287147937791,Raw MA,2024-01-03
Total,0.0028751183496530932,0.002747853209495811,Centered MA,2024-01-10
Total,0.0028680643907278663,0.002739182429284049,Raw MA,2024-01-10
Total,0.0016866957095138773,0.0013954442946491064,Centered MA,2024-01-17
Total,0.001725864403118138,0.0014184640566159389,Raw MA,2024-01-17
Total,8.014574535763407e-4,7.303890403679257e-4,Centered MA,2024-01-24
Total,7.733224423280643e-4,6.930685631855657e-4,Raw MA,2024-01-24
Total,0.0013022551261617963,0.0012366643704176013,Centered MA,2024-01-31
Total,0.001305849298552053,0.0012442707445456218,Raw MA,2024-01-31
Total,9.927818439212578e-4,9.385730033000701e-4,Centered MA,2024-02-07
Total,0.0010087418670384888,9.501417949371906e-4,Raw MA,2024-02-07
Total,5.889124234655583e-4,4.52252611838979e-4,Centered MA,2024-02-14
Total,5.83287145782643e-4,4.374831645205038e-4,Raw MA,2024-02-14
Total,5.503770063439306e-4,4.742442685532755e-4,Centered MA,2024-02-21
Total,5.541853393034486e-4,4.782503000082365e-4,Raw MA,2024-02-21
Total,7.26003334508061e-4,7.113632917323531e-4,Centered MA,2024-02-28
Total,7.15006666252455e-4,6.995777333291264e-4,Raw MA,2024-02-28
Total,0.0014906172486185126,0.0013530868651768883,Centered MA,2024-03-06
Total,0.0014980509664323971,0.0013592515706692537,Raw MA,2024-03-06
Total,0.0027193729752103563,0.0022852666906954325,Centered MA,2024-03-13
Total,0.002716287759275665,0.0022941086528232256,Raw MA,2024-03-13
Total,6.46994353515819e-4,5.642709960834678e-4,Centered MA,2024-03-20
Total,6.45794312950105e-4,5.665243907877343e-4,Raw MA,2024-03-20
Total,5.085778227281976e-4,4.8462825706213283e-4,Centered MA,2024-03-27
Total,5.03442219282146e-4,4.829127579107882e-4,Raw MA,2024-03-27
Total,3.9128071558469483e-4,3.202073848216046e-4,Centered MA,2024-04-03
Total,3.8916672693691434e-4,3.2590901952004106e-4,Raw MA,2024-04-03
Total,0.0015535081410840287,0.0012951890232678794,Centered MA,2024-04-10
Total,0.0015401288454237104,0.0012834592396611388,Raw MA,2024-04-10
Total,0.001433559391574838,0.001207530238886461,Centered MA,2024-04-17
Total,0.0014506338743699022,0.001219939305480467,Raw MA,2024-04-17
Total,0.0011211997052793896,9.347434632842669e-4,Centered MA,2024-04-24
Total,0.0011126734818807916,9.281815221002937e-4,Raw MA,2024-04-24
Total,5.917131302225685e-4,5.264599366033296e-4,Centered MA,2024-05-01
Total,5.858775878777838e-4,5.216661706733683e-4,Raw MA,2024-05-01
Total,5.026318936103888e-4,4.320002060977622e-4,Centered MA,2024-05-08
Total,5.033523283077383e-4,4.3301089242515217e-4,Raw MA,2024-05-08
Total,0.00146310234400141,0.0013568007272177218,Centered MA,2024-05-15
Total,0.0014564840883196457,0.0013517573051148382,Raw MA,2024-05-15
Total,1.9759972076419948e-4,1.6016175430461424e-4,Centered MA,2024-05-22
Total,2.1093070163323967e-4,1.7452236948348188e-4,Raw MA,2024-05-22
Total,2.0180060526970328e-4,1.7727000488495723e-4,Centered MA,2024-05-29
Total,1.8474309433388057e-4,1.6207674131815675e-4,Raw MA,2024-05-29
Total,0.0016103817395822719,0.0013696636184446012,Centered MA,2024-06-05
Total,0.001606264945051369,0.001358392115849042,Raw MA,2024-06-05
Total,8.135751019642542e-4,7.808448077286229e-4,Centered MA,2024-06-12
Total,8.188758719070763e-4,7.851491940155074e-4,Raw MA,2024-06-12
Total,0.0011788581739856298,0.0010809313638008404,Centered MA,2024-06-19
Total,0.0011889439268984478,0.0010880974713379198,Raw MA,2024-06-19
Total,0.0011055905737145674,8.674344076776072e-4,Centered MA,2024-06-26
Total,0.0010991432804086472,8.565667535828381e-4,Raw MA,2024-06-26
Total,0.0016427319969346751,0.0012260999544775192,Centered MA,2024-07-03
Total,0.0016182824377216568,0.0012088950266413642,Raw MA,2024-07-03
Total,9.59922561682647e-4,8.979010800079651e-4,Centered MA,2024-07-10
Total,9.866804895568419e-4,9.212510857423487e-4,Raw MA,2024-07-10
Total,3.713833958094888e-4,3.492150633562646e-4,Centered MA,2024-07-17
Total,3.6452905003904327e-4,3.400877814024421e-4,Raw MA,2024-07-17
Total,5.539671621230587e-4,5.492456069899447e-4,Centered MA,2024-07-24
Total,5.564073019875169e-4,5.510087398386022e-4,Raw MA,2024-07-24
Total,0.0017545880828351177,0.0013448920015837716,Centered MA,2024-07-31
Total,0.0017606963569644632,0.0013479199373781121,Raw MA,2024-07-31
Total,0.0029685662669248583,0.002506167251054965,Centered MA,2024-08-07
Total,0.0029507614533759137,0.0024878485487143283,Raw MA,2024-08-07
Total,8.284822177143678e-4,7.27123565921365e-4,Centered MA,2024-08-14
Total,8.337638419368008e-4,7.292659117500502e-4,Raw MA,2024-08-14
Total,0.00091044897243709635,7.133477923541645e-4,Centered MA,2024-08-21
Total,9.022092567481262e-4,7.023310588512195e-4,Raw MA,2024-08-21
Total,0.0013565372632971264,0.0010924029560329777,Centered MA,2024-08-28
Total,0.0013685482443175853,0.0011034751077053963,Raw MA,2024-08-28
