date,model,divergences,max_treedepth_hits,n_rhat_gt,n_low_ess_bulk,max_rhat,min_ess_bulk,attempts,seed
2023-10-11,Centered MA,0,0,0,5,1.0071750925336218,287.0234043578268,1,20251433
2023-10-11,Raw MA,0,0,0,6,1.0095850398666135,187.41973350698265,1,20251433
2023-10-18,Centered MA,0,0,0,5,1.0090052140396426,283.92394718109006,1,20251434
2023-10-18,Raw MA,0,0,1,6,1.0100933333069992,217.05171463007943,1,20251434
2023-10-25,Centered MA,0,0,0,2,1.005280934453523,301.5775388155336,1,20251435
2023-10-25,Raw MA,0,0,0,7,1.0067230927211797,290.74690739344214,1,20251435
2023-11-01,Centered MA,0,0,2,5,1.010947738311234,273.9500312553275,1,20251436
2023-11-01,Raw MA,0,0,0,6,1.0080947377481153,284.71621358953803,1,20251436
2023-11-08,Centered MA,0,0,0,4,1.0068841312018153,223.21944458078067,1,20251437
2023-11-08,Raw MA,0,0,0,8,1.0053191368263148,309.708129948839,1,20251437
2023-11-15,Centered MA,0,0,1,5,1.0107262104506145,276.37939206282743,1,20251438
2023-11-15,Raw MA,12,0,3,7,1.0376677067508604,71.55514280913735,1,20251438
2023-11-22,Centered MA,0,0,4,6,1.0158980664584158,82.98512308506406,1,20251439
2023-11-22,Raw MA,0,0,0,4,1.0053368917634904,290.9279945299429,1,20251439
2023-11-29,Centered MA,1,0,0,2,1.006872877491239,395.97217415828834,1,20251440
2023-11-29,Raw MA,0,0,0,6,1.0033615157593319,311.83340284562433,1,20251440
2023-12-06,Centered MA,0,0,0,6,1.0074902122993574,277.7208431026375,1,20251441
2023-12-06,Raw MA,0,0,0,0,1.0058783605168993,417.06061261599314,1,20251441
2023-12-13,Centered MA,0,0,1,3,1.01159365613176,291.6065232253223,1,20251442
2023-12-13,Raw MA,0,0,1,6,1.0104816210595375,239.95081470021438,1,20251442
2023-12-20,Centered MA,0,0,0,2,1.00505751247059,387.157396353215,1,20251443
2023-12-20,Raw MA,2,0,0,5,1.005080972272013,261.40351444540744,1,20251443
2023-12-27,Centered MA,0,0,0,1,1.0043593843457288,382.5090414695339,1,20251444
2023-12-27,Raw MA,0,0,0,4,1.005700905241807,351.8630290859962,1,20251444
2024-01-03,Centered MA,0,0,1,4,1.010128684116532,254.71323440339523,1,20251445
2024-01-03,Raw MA,0,0,1,7,1.012355927781939,206.85736621564575,1,20251445
2024-01-10,Centered MA,0,0,1,4,1.0117394998801674,236.10540307657038,1,20251446
2024-01-10,Raw MA,0,0,0,3,1.0084620799179262,312.4294072214266,1,20251446
2024-01-17,Centered MA,0,0,0,0,1.0076524163678886,400.54686061043066,1,20251447
2024-01-17,Raw MA,0,0,0,2,1.0047100125833976,387.18346856814316,1,20251447
2024-01-24,Centered MA,0,0,0,4,1.0050190460053945,256.74842514995197,1,20251448
2024-01-24,Raw MA,0,0,1,4,1.0114532828954779,325.562471293874,1,20251448
2024-01-31,Centered MA,0,0,0,2,1.0079065902176418,209.23947021319273,1,20251449
2024-01-31,Raw MA,0,0,0,1,1.0014296437257664,389.54607339941265,1,20251449
2024-02-07,Centered MA,0,0,0,3,1.004962827446835,250.3841026512002,1,20251450
2024-02-07,Raw MA,0,0,1,6,1.0151355718333264,228.2276281329063,1,20251450
2024-02-14,Centered MA,2,0,1,2,1.0138374022671113,345.01922532031756,1,20251451
2024-02-14,Raw MA,0,0,0,1,1.0015124172150924,381.4827344031031,1,20251451
2024-02-21,Centered MA,1,0,0,1,1.0051833667196473,388.2533181026328,1,20251452
2024-02-21,Raw MA,0,0,1,3,1.012874429542107,268.8213218634758,1,20251452
2024-02-28,Centered MA,0,0,0,3,1.00452843517353,346.4954153349271,1,20251453
2024-02-28,Raw MA,0,0,5,6,1.027541735667692,248.75164393315,1,20251453
2024-03-06,Centered MA,0,0,0,2,1.006285941726796,285.2516346181455,1,20251454
2024-03-06,Raw MA,0,0,4,8,1.0188683972921584,193.37340843865198,1,20251454
2024-03-13,Centered MA,0,0,0,0,1.0045062641138063,407.0229070639164,1,20251455
2024-03-13,Raw MA,1,0,0,1,1.003628018303398,381.49388524779636,1,20251455
2024-03-20,Centered MA,2,0,0,2,1.0025254997550144,329.4548219168923,1,20251456
2024-03-20,Raw MA,0,0,3,6,1.01987410082405,287.8055191598173,1,20251456
2024-03-27,Centered MA,0,0,1,1,1.0133603187571063,373.27100495312203,1,20251457
2024-03-27,Raw MA,0,0,0,3,1.0048626819888393,351.30036527339934,1,20251457
2024-04-03,Centered MA,1,0,1,3,1.0117166960103428,341.60870512836243,1,20251458
2024-04-03,Raw MA,0,0,0,4,1.0026864438254555,334.4342895973192,1,20251458
2024-04-10,Centered MA,0,0,1,4,1.0109687456662062,255.13009934418545,1,20251459
2024-04-10,Raw MA,0,0,0,3,1.0068032763086066,279.3559621240256,1,20251459
2024-04-17,Centered MA,1,0,1,2,1.0109977439306612,313.0541818995495,1,20251460
2024-04-17,Raw MA,15,0,3,7,1.0149597361983955,73.08105971309512,1,20251460
2024-04-24,Centered MA,0,0,0,5,1.0074608508984584,277.1383068879215,1,20251461
2024-04-24,Raw MA,1,0,1,6,1.0126366226546164,142.02314655452312,1,20251461
2024-05-01,Centered MA,0,0,0,3,1.0064586558735034,319.83773472610716,1,20251462
2024-05-01,Raw MA,0,0,0,6,1.0070862206784081,220.34436063640314,1,20251462
2024-05-08,Centered MA,0,0,0,0,1.003774843181939,426.2694676022158,1,20251463
2024-05-08,Raw MA,4,0,1,6,1.0122230467642437,234.6710950550727,1,20251463
2024-05-15,Centered MA,0,0,2,3,1.0116998585317831,208.70495393356123,1,20251464
2024-05-15,Raw MA,0,0,0,4,1.0050284769442501,305.99835443875463,1,20251464
2024-05-22,Centered MA,0,0,0,2,1.0080123950455357,262.4443394053971,1,20251465
2024-05-22,Raw MA,0,0,0,6,1.0089501539093437,312.5064691031541,1,20251465
2024-05-29,Centered MA,0,0,0,0,1.0052007414085895,419.6042447779536,1,20251466
2024-05-29,Raw MA,0,0,4,5,1.0206974484051747,239.22461859032333,1,20251466
2024-06-05,Centered MA,0,0,0,2,1.0080436471229581,328.434962689357,1,20251467
2024-06-05,Raw MA,84,0,9,12,1.16435307611228,14.106026351193128,1,20251467
2024-06-12,Centered MA,3,0,0,3,1.0083559722013409,287.67481904585077,1,20251468
2024-06-12,Raw MA,1,0,0,2,1.006342000472192,238.18897536641694,1,20251468
2024-06-19,Centered MA,0,0,0,0,1.0048068316973555,429.86383447008427,1,20251469
2024-06-19,Raw MA,0,0,1,7,1.012043370483296,192.94642602302523,1,20251469
2024-06-26,Centered MA,1,0,0,2,1.0030222329440597,334.3708122184991,1,20251470
2024-06-26,Raw MA,1,0,0,5,1.0039672513392408,136.00913732679675,1,20251470
2024-07-03,Centered MA,0,0,1,6,1.0111411579746008,203.7426652473456,1,20251471
2024-07-03,Raw MA,3,0,0,1,1.0048052557181262,349.5418762336904,1,20251471
2024-07-10,Centered MA,0,0,0,1,1.0080520931230026,339.64120319837656,1,20251472
2024-07-10,Raw MA,4,0,3,4,1.019197175236451,161.05886669834493,1,20251472
2024-07-17,Centered MA,0,0,1,1,1.010661677891869,335.70346707917815,1,20251473
2024-07-17,Raw MA,1,0,4,5,1.0191141426562356,202.3790884895894,1,20251473
2024-07-24,Centered MA,0,0,0,2,1.0039461663158091,312.1056674514549,1,20251474
2024-07-24,Raw MA,1,0,0,1,1.0025162698812011,388.61289350663634,1,20251474
2024-07-31,Centered MA,0,0,0,2,1.0047523119667794,329.66839709574583,1,20251475
2024-07-31,Raw MA,1,0,0,1,1.006847789363833,374.2820896899462,1,20251475
2024-08-07,Centered MA,0,0,0,1,1.0064964453115748,389.61155641844226,1,20251476
2024-08-07,Raw MA,0,0,3,8,1.0255657833167846,198.7000819799008,1,20251476
2024-08-14,Centered MA,0,0,0,3,1.0041783181262607,335.2438345916911,1,20251477
2024-08-14,Raw MA,1,0,0,2,1.004056495945215,276.4777240944689,1,20251477
2024-08-21,Centered MA,0,0,0,5,1.0089597220222157,262.146584855943,1,20251478
2024-08-21,Raw MA,0,0,0,4,1.0092258343046434,243.0762670869495,1,20251478
2024-08-28,Centered MA,0,0,0,4,1.0046697651707417,319.8450574668191,1,20251479
2024-08-28,Raw MA,1,0,1,3,1.0101257432208295,300.0685184353785,1,20251479
2024-09-04,Centered MA,1,0,0,2,1.0027445124066243,366.1625373695908,1,20251480
2024-09-04,Raw MA,0,0,0,1,1.0081620925183457,385.1499208195839,1,20251480
2024-09-11,Centered MA,0,0,0,1,1.0071791996563482,388.83726289076236,1,20251481
2024-09-11,Raw MA,0,0,2,6,1.012930936492198,232.46012866021553,1,20251481
2024-09-18,Centered MA,0,0,0,4,1.002960721498793,301.0188237307474,1,20251482
2024-09-18,Raw MA,0,0,1,2,1.0117008644745857,379.802224977039,1,20251482
2024-09-25,Centered MA,0,0,0,2,1.007876942927114,301.02504514306713,1,20251483
2024-09-25,Raw MA,1,0,0,2,1.0088356444349942,246.91366669361796,1,20251483
2024-10-02,Centered MA,0,0,0,3,1.008989349196874,313.9273407870722,1,20251484
2024-10-02,Raw MA,1,0,0,0,1.0041122989893,447.9871428726993,1,20251484
2024-10-09,Centered MA,0,0,0,1,1.0069922051356073,377.62776403688537,1,20251485
2024-10-09,Raw MA,2,0,0,0,1.007193115959953,411.2659641985549,1,20251485
2024-10-16,Centered MA,0,0,1,5,1.0103960263063398,226.25706345080928,1,20251486
2024-10-16,Raw MA,0,0,0,2,1.005417418804795,310.2271798467631,1,20251486
2024-10-23,Centered MA,0,0,0,0,1.003486607323321,476.74379420428863,1,20251487
2024-10-23,Raw MA,2,0,2,4,1.0145060772206658,275.3930518156184,1,20251487
2024-10-30,Centered MA,0,0,1,2,1.017141079047424,261.89922198691306,1,20251488
2024-10-30,Raw MA,0,0,0,4,1.0093596755717475,320.0309088259232,1,20251488
2024-11-06,Centered MA,0,0,0,0,1.0042336118458552,483.24353944353595,1,20251489
2024-11-06,Raw MA,1,0,0,1,1.0032591597470204,277.9661182571871,1,20251489
2024-11-13,Centered MA,0,0,0,1,1.005281911301324,385.49748026614975,1,20251490
2024-11-13,Raw MA,0,0,1,2,1.01078108026807,269.95625941111507,1,20251490
2024-11-20,Centered MA,0,0,0,0,1.0042338480666362,407.4088632666891,1,20251491
2024-11-20,Raw MA,0,0,0,2,1.0059498318105609,301.9571155785441,1,20251491
2024-11-27,Centered MA,0,0,0,2,1.0056536138745211,334.57885501308897,1,20251492
2024-11-27,Raw MA,0,0,4,4,1.0360162342187393,205.12367919378653,1,20251492
2024-12-04,Centered MA,0,0,0,2,1.0049989538539081,257.90128340316153,1,20251493
2024-12-04,Raw MA,1,0,0,2,1.0073878450556013,217.04149167932317,1,20251493
2024-12-11,Centered MA,4,0,2,6,1.0121734720552282,305.591281466108,1,20251494
2024-12-11,Raw MA,0,0,0,1,1.007816055828236,398.7814801014129,1,20251494
2024-12-18,Centered MA,0,0,1,4,1.01171298191175,213.65642197773752,1,20251495
2024-12-18,Raw MA,3,0,3,2,1.0218712858336527,219.2602244142451,1,20251495
2024-12-25,Centered MA,0,0,0,2,1.0099927461790421,297.0766607304922,1,20251496
2024-12-25,Raw MA,0,0,0,2,1.0098224942730738,287.37659920512317,1,20251496
2025-01-01,Centered MA,0,0,0,0,1.0094850376724573,409.82592610942453,1,20251497
2025-01-01,Raw MA,3,0,1,3,1.0112218546020602,222.90328037349784,1,20251497
2025-01-08,Centered MA,0,0,0,0,1.0028901696388757,483.2604724732541,1,20251498
2025-01-08,Raw MA,0,0,0,4,1.0074247782644437,226.04688911735835,1,20251498
2025-01-15,Centered MA,0,0,0,0,1.0055293226532291,430.3442769846741,1,20251499
