component,RMSE,MAE,model,date
Total,3.7668059189764137e-4,3.2204525470011167e-4,Centered MA,2023-10-11
Total,3.67844981380064e-4,3.143083212732191e-4,Raw MA,2023-10-11
Total,3.264304367307999e-4,2.8012963880499897e-4,Centered MA,2023-10-18
Total,3.2815832721363455e-4,2.8159519610700123e-4,Raw MA,2023-10-18
Total,6.449376902003025e-4,5.218783886979765e-4,Centered MA,2023-10-25
Total,6.428584374968784e-4,5.209303077567812e-4,Raw MA,2023-10-25
Total,0.0013711405428527966,0.0011330428288826924,Centered MA,2023-11-01
Total,0.0013732359161603197,0.001136084835534061,Raw MA,2023-11-01
Total,0.001998513035686075,0.0015858148854523864,Centered MA,2023-11-08
Total,0.0020025636968705822,0.0015727855114788282,Raw MA,2023-11-08
Total,0.0016344455097292,0.001415078654111817,Centered MA,2023-11-15
Total,0.0016155797635955085,0.0013988405949063379,Raw MA,2023-11-15
Total,0.0012614225989532046,0.0010312882869074405,Centered MA,2023-11-22
Total,0.0012767182959220484,0.0010406176254938101,Raw MA,2023-11-22
Total,0.0010133915612663433,8.281994003534569e-4,Centered MA,2023-11-29
Total,0.0010148937028345954,8.311557517040498e-4,Raw MA,2023-11-29
Total,0.001173879335880355,0.0011453974509103917,Centered MA,2023-12-06
Total,0.0011523067916838455,0.0011278877246265022,Raw MA,2023-12-06
Total,0.0011975697731679844,0.0011564407831953505,Centered MA,2023-12-13
Total,0.0011772165991228338,0.001138227732994948,Raw MA,2023-12-13
Total,8.587193132369225e-4,7.070628441198275e-4,Centered MA,2023-12-20
Total,8.513183626295437e-4,7.093375554993384e-4,Raw MA,2023-12-20
Total,0.00270893154074199,0.002346970944527769,Centered MA,2023-12-27
Total,0.0026851224370372565,0.002329829106737947,Raw MA,2023-12-27
Total,0.0025294943426553327,0.001915936909242532,Centered MA,2024-01-03
Total,0.0025208864384584223,0.0018875402790868058,Raw MA,2024-01-03
Total,0.0029774693854523276,0.0028329006940280566,Centered MA,2024-01-10
